cluster,segment,if_buys,promote,confidence,lift
0,Vegetarians,"cooking oil, tomato sauce",babies food,0.42,1.48
0,Vegetarians,"fresh bread, milk",babies food,0.42,1.48
0,Vegetarians,"napkins, spaghetti",babies food,0.41,1.46
1,Regulars,"avocado, carrots","asparagus, salad",0.33,5.18
1,Regulars,"avocado, salad","asparagus, carrots",0.31,5.13
1,Regulars,"asparagus, carrots","avocado, salad",0.2,5.13
2,Wellness,energy drink,airpods,0.24,2.34
2,Wellness,bluetooth headphones,airpods,0.22,2.13
2,Wellness,energy bar,airpods,0.21,2.03
3,Promoters,"salad, tomatoes","asparagus, carrots",0.3,5.81
3,Promoters,"carrots, salad","asparagus, tomatoes",0.29,5.75
3,Promoters,"carrots, tomatoes","asparagus, salad",0.3,5.71
4,Loyalists,energy drink,airpods,0.26,1.98
4,Loyalists,bluetooth headphones,airpods,0.24,1.78
4,Loyalists,iphone 10,airpods,0.21,1.59
5,Families,"cereals, chocolate bread","eggs, fresh bread",0.21,1.57
5,Families,"black tea, fresh bread",salt,0.22,1.54
5,Families,"milk, oatmeal","cereals, eggs",0.22,1.49
6,Economizers,"airpods, energy drink",bluetooth headphones,0.37,3.75
6,Economizers,"airpods, bluetooth headphones",energy drink,0.37,3.66
6,Economizers,"bluetooth headphones, energy drink",airpods,0.56,3.34
7,Techies,"airpods, energy drink",bluetooth headphones,0.37,5.44
7,Techies,"bluetooth headphones, energy drink",airpods,0.62,4.97
7,Techies,"airpods, bluetooth headphones",energy drink,0.41,4.77
